							
"Inst
 Code"	Institute Name	Place	"Dist 
Code"	College Type	Year of Estab	Branch Name	"BC_D 
GIRLS"
ASRA	AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	101054
ASRA	AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING	133444
ASRA	AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY	HAYATHNAGAR	RR	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	144824
ASRA	AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY	HAYATHNAGAR	RR	PVT	2008	ELECTRONICS AND COMMUNICATION ENGINEERING	156852
AURG	AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE	GHATKESAR	MDL	PVT	2003	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	145024
AURG	AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE	GHATKESAR	MDL	PVT	2003	COMPUTER SCIENCE AND ENGINEERING	128876
AURG	AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE	GHATKESAR	MDL	PVT	2003	ELECTRONICS AND COMMUNICATION ENGINEERING	124428
AURG	AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE	GHATKESAR	MDL	PVT	2003	MECHANICAL ENGINEERING	156852
AVIH	AVANTHI INST OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2005	COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)	131678
AVIH	AVANTHI INST OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2005	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	156852
AVIH	AVANTHI INST OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2005	COMPUTER SCIENCE AND ENGINEERING	130039
AVIH	AVANTHI INST OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2005	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	138852
AVIH	AVANTHI INST OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2005	ELECTRONICS AND COMMUNICATION ENGINEERING	146427
AVIH	AVANTHI INST OF ENGG AND TECHNOLOGY	HAYATHNAGAR	RR	PVT	2005	ELECTRICAL AND ELECTRONICS ENGINEERING	156852
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	137187
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	CIVIL ENGINEERING	121878
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)	111285
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	156852
